Parte,Fecha_Inicio,Concejo,Localidad,Estado,Latitud,Longitud,Superficie_ha
,,,Cazo,Extinguido,43.26893622966849,-5.206114005895235,
,,,Beleño,Extinguido,43.194722,-5.159722,
,,,Buscabrero,Extinguido,43.45383999397854,-6.308376265964583,1
,,,La Falguera,Extinguido,43.129348224376415,-6.229474305918906,
,,,Vigidel,Extinguido,43.14270559784672,-6.144841154584782,
,,,Piedratecha,Extinguido,43.32808488982674,-6.474536187161833,1
,20/03/2026 7:37,,Espiniella de Arriba,Extinguido,43.48496508360483,-6.337028126212451,3
,27/02/2026 3:50,,ESPINIELLA,Extinguido,43.4855,-6.3333,9
0040-01042026,01/04/2026 2:01,Peñamellera Baja,,Falsa Alarma,43.328408,-4.58575,
1104-02042026,02/04/2026 22:46,Candamo,,Falsa Alarma,43.462138,-6.09695,
0373-03042026,03/04/2026 11:16,Grado,,Falsa Alarma,43.320529,-6.09706,
0395-03042026,03/04/2026 11:31,Langreo,,Falsa Alarma,43.310652,-5.71726,
1089-03042026,03/04/2026 21:31,Regueras (Las),ARECES,Falsa Alarma,43.407096,-5.99625,
0598-04042026,04/04/2026 13:46,Piloña,,Falsa Alarma,43.309441,-5.44806,
1142-04042026,04/04/2026 21:16,Cangas de Onís,CUERRES,Falsa Alarma,43.373036,-5.00428,
0490-05042026,05/04/2026 13:01,Amieva,PEN,Falsa Alarma,43.264002,-5.15389,
1014-05042026,05/04/2026 21:01,Navia,,Falsa Alarma,43.549516,-6.70563,
1080-05042026,05/04/2026 22:00,Grado,BASELGAS,Falsa Alarma,43.310133,-6.06512,
0002-06042026,06/04/2026 0:16,Bimenes,MONTE CARROZAL,Falsa Alarma,43.319339,-5.5598,
0034-06042026,06/04/2026 1:16,San Martín del Rey Aurelio,EL CORVERO,Falsa Alarma,43.318517,-5.59862,
0043-06042026,06/04/2026 1:31,Langreo,PICO ESCOBÍN/ PICO ARENERO,Falsa Alarma,43.290493,-5.7009,
0065-06042026,06/04/2026 2:31,Ribera de Arriba,BUEÑO,Falsa Alarma,43.315483,-5.89706,
0497-06042026,06/04/2026 15:16,Cudillero,,Falsa Alarma,43.568551,-6.24822,
0559-06042026,06/04/2026 16:31,Piloña,,Falsa Alarma,43.288628,-5.33247,
0560-06042026,06/04/2026 16:31,Belmonte de Miranda,,Falsa Alarma,43.294777,-6.22945,
0586-06042026,06/04/2026 16:46,Piloña,,Falsa Alarma,43.31466,-5.32712,
0713-06042026,06/04/2026 18:46,Grado,LA CABORNA,Falsa Alarma,43.380421,-6.01313,
0913-06042026,06/04/2026 22:16,Parres,,Falsa Alarma,43.368507,-5.22248,
0954-06042026,07/04/2026 5:31,Grado,BASELGAS,Falsa Alarma,43.310133,-6.06512,
0141-07042026,07/04/2026 6:46,Salas,Viescas,Falsa Alarma,43.368388,-6.25569,
0566-07042026,07/04/2026 17:01,Tineo,,Falsa Alarma,43.3617,-6.65451,
0599-07042026,07/04/2026 17:31,Piloña,,Falsa Alarma,43.364618,-5.40738,
0610-07042026,07/04/2026 18:01,Nava,,Falsa Alarma,43.354399,-5.44846,
0670-07042026,07/04/2026 19:16,Nava,Sierra de Peñamayor.,Falsa Alarma,43.338297,-5.49649,
0669-07042026,07/04/2026 19:16,Cabranes,Entre Grandeño y Lodeña.,Falsa Alarma,43.391661,-5.38528,
0703-07042026,07/04/2026 19:31,Piloña,,Falsa Alarma,43.340493,-5.33284,
0723-07042026,07/04/2026 19:46,Sariego,,Falsa Alarma,43.415757,-5.52238,
0734-07042026,07/04/2026 20:01,Piloña,,Falsa Alarma,43.359573,-5.30619,
0754-07042026,07/04/2026 20:16,Piloña,Valles,Falsa Alarma,43.367568,-5.3138,
0793-07042026,07/04/2026 20:46,Tineo,Calabazos.,Falsa Alarma,43.313278,-6.31343,
0022-08042026,08/04/2026 0:46,Cangas de Onís,SEGUENCO,Falsa Alarma,43.327063,-5.07282,
0034-08042026,08/04/2026 1:16,Llanera,SAN CUCAO,Falsa Alarma,43.431346,-5.88277,
0032-08042026,08/04/2026 1:16,Salas,POLES,Falsa Alarma,43.399063,-6.26879,
,,,Boo,Falsa Alarma,43.146,-5.782,
,04/03/2026 0:31,,Abantro,Falsa Alarma,43.2037,-5.3898,
0700-03042026,03/04/2026 15:46,Peñamellera Baja,BORES-TOBES,Quema Controlada,43.294224,-4.61242,
0389-05042026,05/04/2026 11:46,Llanes,Ovio,Quema Controlada,43.451108,-4.93917,
